candidate_id,candidate_name,state,year,bad_url,found_url,confidence,signal_count,status_code,wayback_url,verdict
921,Dione Johnson,New Jersey,2025,https://justfacts.votesmart.org/candidate/biography/222304/dione-johnson,,0,0,0,,no_candidate
920,Doug Dillon,New Jersey,2025,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=520848,,0,0,0,,no_candidate
895,Joanne Famularo,New Jersey,2025,https://bluevoterguide.org/NJ/candidate_Joanne_Famularo/645401,,0,0,0,,no_candidate
933,Gigi Esparza,New Jersey,2025,https://ivoterguide.com/candidate/88782/race/23243/election/1308?culture=en-us,,0,0,0,,no_candidate
945,Jason M. Corley Sr.,New Jersey,2025,https://ivoterguide.com/candidate/88332/race/23246/election/1308,,0,0,0,,no_candidate
941,Kyler Daneen,New Jersey,2025,https://bluevoterguide.org/NJ/candidate_Kyler_Dineen/663304,,0,0,0,,no_candidate
946,Vaibhav Gorige,New Jersey,2025,https://bluevoterguide.org/district/NJ/New_Jersey_General_Assembly_District_13/22758/,,0,0,0,,no_candidate
956,Catherine Payne,New Jersey,2025,https://justfacts.votesmart.org/candidate/biography/222324/catherine-payne,,0,0,0,,no_candidate
965,Eugene DeMarzo,New Jersey,2025,https://ivoterguide.com/candidate/87615/race/23251/election/1308,,0,0,0,,no_candidate
961,Susan Hucko,New Jersey,2025,https://bluevoterguide.org/district/NJ/New_Jersey_General_Assembly_District_17/905/36,,0,0,0,,no_candidate
964,Melanie Mott,New Jersey,2025,https://ivoterguide.com/candidate/58439/race/23251/election/1308,,0,0,0,,no_candidate
979,Lisa Fabrizio,New Jersey,2025,https://ivoterguide.com/candidate/75881/race/23255/election/1308,,0,0,0,,no_candidate
980,Jermaine Caulder,New Jersey,2025,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=708195,,0,0,0,,no_candidate
996,Michael Mancuso,New Jersey,2025,https://bluevoterguide.org/district/NJ/New_Jersey_General_Assembly_District_26/25103/,,0,0,0,,no_candidate
997,Walter Mielarczyk,New Jersey,2025,https://vote-usa.org/Intro.aspx?State=NJ&Id=NJMielarczykWalter,,0,0,0,,no_candidate
1000,Adam Kraemer,New Jersey,2025,https://ivoterguide.com/candidate/58417/race/23260/election/1308,,0,0,0,,no_candidate
1001,Robert Iommazzo,New Jersey,2025,https://bluevoterguide.org/district/NJ/New_Jersey_General_Assembly_District_27/22772/273,,0,0,0,,no_candidate
1008,Noble Milton,New Jersey,2025,https://bluevoterguide.org/district/NJ/New_Jersey_General_Assembly_District_29/22773/273,,0,0,0,,no_candidate
1012,Joanne DeBenedictis,New Jersey,2025,https://ivoterguide.com/candidate/88857/race/23263/election/1308,,0,0,0,,no_candidate
1015,Anthony Acosta,New Jersey,2025,https://ivoterguide.com/candidate/87622/race/23264/election/1308,,0,0,0,,no_candidate
1019,Stephen Bishop,New Jersey,2025,https://ivoterguide.com/candidate/87624/race/23265/election/1308,,0,0,0,,no_candidate
1023,Cynthia DePice,New Jersey,2025,https://ivoterguide.com/candidate/87626/race/23266/election/1308,,0,0,0,,no_candidate
1027,Lorenzo Marchese,New Jersey,2025,https://ivoterguide.com/candidate/87628/race/23267/election/1308,,0,0,0,,no_candidate
1028,Demtrius Eley,New Jersey,2025,https://ivoterguide.com/candidate/87627/race/23267/election/1308,,0,0,0,,no_candidate
1040,Marco Navarro,New Jersey,2025,https://justfacts.votesmart.org/candidate/biography/222380/marco-navarro,,0,0,0,,no_candidate
1041,Andrew Meehan,New Jersey,2025,https://ivoterguide.com/candidate/87635/race/23270/election/1308,,0,0,0,,no_candidate
1045,Jerry Taylor,New Jersey,2025,https://vote-usa.org/Intro.aspx?State=NJ&Id=NJTaylorJerry,,0,0,0,,no_candidate
1215,Richard Stonage Jr.,Virginia,2025,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=709121,,0,0,0,,no_candidate
1340,Zachary Moore,Pennsylvania,2025,https://justfacts.votesmart.org/candidate/220802/zachary-moore,,0,0,0,,no_candidate
1341,Stefano Famiglietti,Rhode Island,2025,https://bluevoterguide.org/RI/candidate_Stefano_Famiglietti/673111,,0,0,0,,no_candidate
885,1[135],Wisconsin,2025,https://www.vote.org/,,0,0,0,,no_candidate
888,Total votes,Wisconsin,2025,https://uselectionatlas.org/RESULTS/state.php?year=2024&fips=55&off=0&elect=0,,0,0,0,,no_candidate
